epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,7731.02,1.10214,1.19708,0.0112,0.88106,0.88891,0.94078,0.70575,0.96868,0.88695,0.0093,0.0248333,0.00827776,0.0248333,0.00827776,0.0248333,0.00827776,0.0248333,0.00827776
58,8691.5,1.10987,1.21511,0.01125,0.8869,0.85933,0.93268,0.70396,0.96339,0.88836,0.00915,0.0246597,0.0082199,0.0246597,0.0082199,0.0246597,0.0082199,0.0246597,0.0082199
59,9489.84,1.09628,1.2044,0.01102,0.8884,0.86612,0.93724,0.70705,0.96262,0.9244,0.00905,0.0244839,0.00816131,0.0244839,0.00816131,0.0244839,0.00816131,0.0244839,0.00816131
60,10280.2,1.09021,1.18672,0.01097,0.87953,0.89706,0.93744,0.70848,0.97485,0.90299,0.00911,0.024306,0.008102,0.024306,0.008102,0.024306,0.008102,0.024306,0.008102
61,11075.4,1.08899,1.17689,0.011,0.91516,0.86579,0.94573,0.71263,0.97096,0.89632,0.00907,0.0241259,0.00804198,0.0241259,0.00804198,0.0241259,0.00804198,0.0241259,0.00804198
62,11867.2,1.08421,1.18145,0.01098,0.91408,0.8681,0.94172,0.71531,0.95985,0.88701,0.00903,0.0239438,0.00798127,0.0239438,0.00798127,0.0239438,0.00798127,0.0239438,0.00798127
63,639.923,0.96771,0.96165,0.00962,0.91162,0.88602,0.94609,0.71818,0.9471,0.8746,0.00886,0.0237597,0.0079199,0.0237597,0.0079199,0.0237597,0.0079199,0.0237597,0.0079199
64,1398.44,0.98201,0.99011,0.00973,0.89246,0.8955,0.94588,0.71958,0.93399,0.86719,0.00861,0.0235736,0.00785786,0.0235736,0.00785786,0.0235736,0.00785786,0.0235736,0.00785786
65,2018.59,0.96341,0.9739,0.00965,0.902,0.87592,0.94212,0.71884,0.92723,0.85147,0.00851,0.0233855,0.00779518,0.0233855,0.00779518,0.0233855,0.00779518,0.0233855,0.00779518
66,2619.76,0.96646,0.97069,0.00952,0.91578,0.8769,0.94543,0.72139,0.93226,0.84655,0.00862,0.0231956,0.00773187,0.0231956,0.00773187,0.0231956,0.00773187,0.0231956,0.00773187
67,3168.73,0.98244,0.98345,0.00975,0.89196,0.89433,0.93892,0.71403,0.93069,0.85318,0.00862,0.0230038,0.00766795,0.0230038,0.00766795,0.0230038,0.00766795,0.0230038,0.00766795
68,3703.06,1.01037,1.04879,0.01004,0.88958,0.90111,0.93785,0.71579,0.92834,0.84155,0.00861,0.0228103,0.00760343,0.0228103,0.00760343,0.0228103,0.00760343,0.0228103,0.00760343
69,4514.72,1.01675,1.05446,0.01011,0.89682,0.88145,0.93809,0.72087,0.92382,0.84355,0.00856,0.022615,0.00753833,0.022615,0.00753833,0.022615,0.00753833,0.022615,0.00753833
70,5692.62,1.00999,1.02515,0.00998,0.87616,0.88813,0.93888,0.72346,0.91762,0.84466,0.00841,0.022418,0.00747267,0.022418,0.00747267,0.022418,0.00747267,0.022418,0.00747267
71,6788.46,1.00949,1.03394,0.01007,0.9088,0.87483,0.94351,0.73074,0.91006,0.84443,0.00835,0.0222194,0.00740645,0.0222194,0.00740645,0.0222194,0.00740645,0.0222194,0.00740645
72,7816.02,1.00707,1.03786,0.01007,0.88751,0.88526,0.94294,0.72852,0.90823,0.83178,0.00826,0.0220191,0.00733971,0.0220191,0.00733971,0.0220191,0.00733971,0.0220191,0.00733971
73,8848.39,1.0034,1.01731,0.00999,0.89866,0.87109,0.93732,0.72474,0.90646,0.83014,0.00829,0.0218174,0.00727245,0.0218174,0.00727245,0.0218174,0.00727245,0.0218174,0.00727245
74,9828.6,1.00816,1.0142,0.01002,0.90091,0.86594,0.94004,0.72867,0.9026,0.81048,0.00824,0.0216141,0.00720469,0.0216141,0.00720469,0.0216141,0.00720469,0.0216141,0.00720469
