epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,4981.77,1.17778,0.82193,0.01068,0.88765,0.86093,0.92244,0.67755,1.0156,0.49344,0.00992,0.00240662,0.000802208,0.00240662,0.000802208,0.00240662,0.000802208,0.00240662,0.000802208
61,5942.55,1.16942,0.81525,0.01076,0.85557,0.8788,0.92166,0.67266,1.01803,0.49008,0.00994,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
62,681.924,1.03803,0.6823,0.00912,0.87188,0.87463,0.92665,0.67938,1.00958,0.48645,0.0098,0.00236888,0.000789628,0.00236888,0.000789628,0.00236888,0.000789628,0.00236888,0.000789628
63,978.412,1.04116,0.67554,0.00925,0.85731,0.87897,0.9195,0.67581,1.0121,0.50187,0.00985,0.00234969,0.000783231,0.00234969,0.000783231,0.00234969,0.000783231,0.00234969,0.000783231
64,1283.71,1.03656,0.67563,0.00909,0.86307,0.88279,0.92131,0.67678,1.00755,0.51055,0.00983,0.0023303,0.000776766,0.0023303,0.000776766,0.0023303,0.000776766,0.0023303,0.000776766
65,1727.33,1.03646,0.67655,0.00919,0.87702,0.88954,0.92533,0.67961,1.00694,0.49683,0.00985,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234
66,2224.46,1.03507,0.67539,0.00921,0.87745,0.87927,0.92388,0.67799,1.00723,0.49118,0.00993,0.00229091,0.000763637,0.00229091,0.000763637,0.00229091,0.000763637,0.00229091,0.000763637
67,2525.87,1.03262,0.6679,0.00911,0.89649,0.87673,0.92716,0.68116,1.00961,0.49681,0.00997,0.00227093,0.000756976,0.00227093,0.000756976,0.00227093,0.000756976,0.00227093,0.000756976
68,849.58,0.97616,0.62479,0.00843,0.8888,0.89132,0.92791,0.68275,1.01027,0.488,0.00998,0.00225076,0.000750252,0.00225076,0.000750252,0.00225076,0.000750252,0.00225076,0.000750252
69,1327.42,0.98323,0.62536,0.0086,0.87194,0.89658,0.92917,0.68177,1.00772,0.49293,0.00987,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468
70,1629.14,0.98338,0.63056,0.00849,0.88389,0.8745,0.92464,0.68039,1.00812,0.48923,0.00987,0.00220988,0.000736625,0.00220988,0.000736625,0.00220988,0.000736625,0.00220988,0.000736625
71,655.856,0.91421,0.57691,0.00778,0.86997,0.88954,0.92571,0.6826,1.00679,0.49118,0.00989,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725,0.00218918,0.000729725
72,1246.62,0.94401,0.59495,0.00818,0.86912,0.90078,0.92798,0.68347,1.01146,0.4914,0.00996,0.00216831,0.00072277,0.00216831,0.00072277,0.00216831,0.00072277,0.00216831,0.00072277
73,2162,0.96654,0.61291,0.00831,0.86735,0.90806,0.92723,0.68152,1.01114,0.49738,0.00991,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761
74,511.288,0.86874,0.54372,0.0073,0.87937,0.89666,0.9276,0.68012,1.0105,0.49786,0.0099,0.0021261,0.0007087,0.0021261,0.0007087,0.0021261,0.0007087,0.0021261,0.0007087
75,810.676,0.91495,0.57108,0.00788,0.86856,0.91007,0.92547,0.68015,1.01142,0.5005,0.00993,0.00210476,0.000701588,0.00210476,0.000701588,0.00210476,0.000701588,0.00210476,0.000701588
76,479.79,1.19891,0.83264,0.01067,0.87348,0.86318,0.91879,0.67291,1.00478,0.49165,0.00885,0.00208328,0.000694428,0.00208328,0.000694428,0.00208328,0.000694428,0.00208328,0.000694428
77,796.267,1.19958,0.8283,0.01065,0.89565,0.85565,0.9208,0.67701,0.99306,0.4764,0.00877,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222
78,1122.51,1.18952,0.81547,0.01044,0.8761,0.88312,0.92378,0.68165,0.98709,0.46609,0.00873,0.00203991,0.00067997,0.00203991,0.00067997,0.00203991,0.00067997,0.00203991,0.00067997
79,1772.62,1.18356,0.81244,0.01046,0.88474,0.88507,0.92611,0.6862,0.97828,0.4543,0.00867,0.00201803,0.000672675,0.00201803,0.000672675,0.00201803,0.000672675,0.00201803,0.000672675
80,2270.3,1.18541,0.81993,0.01049,0.89536,0.88407,0.92929,0.69075,0.97487,0.44633,0.00861,0.00199602,0.000665339,0.00199602,0.000665339,0.00199602,0.000665339,0.00199602,0.000665339
81,2583.8,1.18305,0.81522,0.01056,0.89399,0.87992,0.93038,0.69216,0.97096,0.44351,0.00857,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
82,518.948,1.10362,0.73353,0.0096,0.89755,0.87715,0.92878,0.69096,0.96896,0.44169,0.00855,0.00195165,0.00065055,0.00195165,0.00065055,0.00195165,0.00065055,0.00195165,0.00065055
83,1027.01,1.12173,0.74925,0.00976,0.88702,0.88456,0.9283,0.69095,0.96706,0.44116,0.00855,0.0019293,0.000643101,0.0019293,0.000643101,0.0019293,0.000643101,0.0019293,0.000643101
84,1376.58,1.12745,0.75575,0.00974,0.88573,0.88008,0.92665,0.68979,0.96683,0.44085,0.00857,0.00190685,0.000635617,0.00190685,0.000635617,0.00190685,0.000635617,0.00190685,0.000635617
85,1899.44,1.13581,0.76517,0.00993,0.87822,0.89157,0.92891,0.69231,0.96584,0.44051,0.0086,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101
86,421.968,1.04948,0.68533,0.00901,0.86973,0.89043,0.93072,0.69328,0.96809,0.44025,0.00861,0.00186167,0.000620555,0.00186167,0.000620555,0.00186167,0.000620555,0.00186167,0.000620555
87,313.936,1.02882,0.67075,0.0088,0.88854,0.87996,0.93028,0.69224,0.96727,0.43676,0.00862,0.00183894,0.000612981,0.00183894,0.000612981,0.00183894,0.000612981,0.00183894,0.000612981
88,628.526,1.08559,0.7146,0.00938,0.88155,0.88679,0.92877,0.69288,0.9655,0.43681,0.00858,0.00181614,0.00060538,0.00181614,0.00060538,0.00181614,0.00060538,0.00181614,0.00060538
89,952.153,1.10297,0.73301,0.00948,0.87798,0.89124,0.92904,0.69166,0.96577,0.4375,0.0086,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754
90,1269.14,1.12576,0.75742,0.00981,0.87782,0.88263,0.92878,0.69183,0.96362,0.4362,0.00859,0.00177031,0.000590105,0.00177031,0.000590105,0.00177031,0.000590105,0.00177031,0.000590105
91,1588.45,1.15545,0.7794,0.0101,0.87507,0.88777,0.93071,0.69486,0.96369,0.43483,0.00858,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435,0.00174731,0.000582435
92,1911.37,1.16377,0.79452,0.01029,0.88125,0.88651,0.93074,0.69447,0.96342,0.43323,0.00862,0.00172424,0.000574746,0.00172424,0.000574746,0.00172424,0.000574746,0.00172424,0.000574746
93,2258.99,1.16884,0.80271,0.01028,0.88178,0.89186,0.9321,0.69541,0.96127,0.43267,0.00857,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704
94,2692.92,1.16065,0.79456,0.01025,0.89202,0.89058,0.93214,0.69717,0.95919,0.4316,0.00855,0.00167796,0.000559318,0.00167796,0.000559318,0.00167796,0.000559318,0.00167796,0.000559318
95,3040.23,1.15686,0.78367,0.01008,0.8871,0.89811,0.93416,0.69805,0.95679,0.43059,0.00849,0.00165475,0.000551584,0.00165475,0.000551584,0.00165475,0.000551584,0.00165475,0.000551584
